scope_id,project,coding_activities,non_coding_activities,coding_contributors,non_coding_contributors,highlighted
1,akka/akka,12623,27280,199,57,False
2,hadley/devtools,1015,2049,38,78,False
3,johnmyleswhite/ProjectTemplate,110,61,10,2,False
4,mavam/stat-cookbook,58,19,3,0,False
5,facebook/hiphop-php,6431,6385,250,437,False
6,yihui/knitr,3078,4426,39,179,False
7,rstudio/shiny,925,866,14,43,False
8,facebook/folly,440,125,94,15,False
9,mongodb/mongo,23143,884,349,76,False
10,TTimo/doom3.gpl,84,30,15,3,False
11,ariya/phantomjs,2141,11556,170,984,False
12,TrinityCore/TrinityCore,23725,17350,575,686,False
289,mangos/MaNGOS,7314,4062,575,335,False
454,bitcoin/bitcoin,4008,34757,256,605,False
3437,keithw/mosh,1112,3963,61,533,False
3583,xbmc/xbmc,35061,48264,586,423,False
3750,joyent/http-parser,429,1194,67,63,False
5326,kr/beanstalkd,740,1236,57,143,False
7242,antirez/redis,3921,8143,289,822,False
7427,liuliu/ccv,525,362,13,39,False
8955,memcached/memcached,1007,100,116,8,False
9215,openframeworks/openFrameworks,6699,22901,168,279,False
9636,libgit2/libgit2,6330,19803,206,206,False
10380,vmg/redcarpet,547,2402,63,208,False
10593,joyent/libuv,3039,7662,154,204,False
10629,SignalR/SignalR,5225,18678,107,778,False
12554,hbons/SparkleShare,3765,11442,181,851,False
12976,moxiecode/plupload,966,5037,115,651,False
13566,mono/mono,2383,1451,317,22,False
14327,NancyFx/Nancy,3463,7255,206,119,False
14328,ServiceStack/ServiceStack,3928,912,233,20,False
14912,AutoMapper/AutoMapper,571,1854,80,229,False
15018,restsharp/RestSharp,948,2337,146,117,False
15974,ravendb/ravendb,6710,302,139,6,False
16134,SamSaffron/MiniProfiler,1023,1067,109,65,False
16402,nathanmarz/storm,1940,3973,137,249,False
17515,elasticsearch/elasticsearch,6173,19725,228,1270,False
17566,JakeWharton/ActionBarSherlock,1756,6916,144,704,False
19580,facebook/facebook-android-sdk,528,131,93,50,False
19786,clojure/clojure,2711,51,152,9,False
22980,Bukkit/CraftBukkit,4541,9906,457,471,False
22981,netty/netty,7411,23044,158,430,False
23781,github/android,2529,2274,65,210,False
24292,joyent/node,11336,11864,878,358,False
25875,jquery/jquery,7372,8904,524,250,False
26388,h5bp/html5-boilerplate,2135,17012,390,1128,False
27504,bartaz/impress.js,511,2153,121,281,False
42644,mbostock/d3,3035,8761,186,443,False
47382,harvesthq/chosen,1486,2068,265,323,False
49675,FortAwesome/Font-Awesome,533,11198,111,2722,False
50618,mrdoob/three.js,7176,33993,361,1461,False
51669,zurb/foundation,4679,19937,504,2016,False
51671,symfony/symfony,15231,104283,1196,1864,False
59607,EllisLab/CodeIgniter,7244,6341,602,178,False
62501,facebook/php-sdk,201,222,78,57,False
62502,zendframework/zf2,15103,13126,822,110,False
63250,cakephp/cakephp,13178,8634,439,48,False
64176,ginatrapani/ThinkUp,2843,8001,129,246,False
64918,sebastianbergmann/phpunit,3539,6862,194,630,False
65107,codeguy/Slim,1512,3139,157,202,False
69158,django/django,17419,5571,810,108,False
71786,facebook/tornado,2194,4139,283,314,False
71787,jkbr/httpie,465,916,48,109,False
72032,mitsuhiko/flask,2099,4917,284,367,False
74914,kennethreitz/requests,3986,17873,437,716,False
74915,xphere-forks/symfony,1233,142,74,18,False
75984,reddit/reddit,3901,4610,177,326,False
76945,boto/boto,6230,8806,562,382,False
76946,django-debug-toolbar/django-debug-toolbar,970,2109,149,299,False
77319,midgetspy/Sick-Beard,4068,2762,342,278,False
78835,divio/django-cms,5664,12291,362,433,False
78852,rails/rails,39891,161700,2956,5715,True
79163,mxcl/homebrew,35991,214252,4792,6432,True
79166,mojombo/jekyll,2924,16263,379,1087,False
91020,gitlabhq/gitlabhq,8082,45530,733,2814,False
91331,diaspora/diaspora,15835,40460,513,1044,False
95385,plataformatec/devise,3031,15196,471,1799,False
101472,joshuaclayton/blueprint-css,492,22,38,2,False
101997,imathis/octopress,2505,10289,395,765,False
104306,vinc/vinc.cc,51,0,1,0,False
104307,thoughtbot/paperclip,1880,8991,354,1150,False
105378,chriseppstein/compass,3105,11277,307,1071,False
106160,twitter/finagle,2653,1420,152,100,False
106161,robey/kestrel,1039,660,46,62,False
107085,twitter/flockdb,798,448,31,46,False
107186,twitter/gizzard,1408,415,38,24,False
107187,sbt/sbt,2769,5879,94,328,False
107534,scala/scala,17917,43856,211,103,False
107535,scalatra/scalatra,2043,1491,71,61,False
107672,twitter/zipkin,1397,2017,24,31,False
