type,category,metric,aggregation,cohort,baseline,pairs
A,non_coding,ABRE,mediana,1.0,0.5714285714285714,33
A,non_coding,MRE,mediana,0.59375,0.4,33
A,non_coding,MER,mediana,0.5590828924162258,0.4074074074074074,33
A,non_coding,MAE,media,8.549358050196625,5.96969696969697,33
A,moved,ABRE,mediana,0.26446280991735527,0.3076923076923077,31
A,moved,MRE,mediana,0.22602739726027396,0.25,31
A,moved,MER,mediana,0.23137254901960788,0.2857142857142857,31
A,moved,MAE,media,3.585304691744724,2.5806451612903225,31
A,coding,ABRE,mediana,0.24999999999999994,0.9666666666666667,58
A,coding,MRE,mediana,0.2000000000000001,0.5,58
A,coding,MER,mediana,0.22756410256410253,0.5,58
A,coding,MAE,media,4.0076078961657915,5.189655172413793,58
A,all,ABRE,mediana,0.3333333333333333,0.5,71
A,all,MRE,mediana,0.3,0.40540540540540543,71
A,all,MER,mediana,0.31707317073170743,0.4,71
A,all,MAE,media,7.162961957012899,6.71830985915493,71
B,non_coding,ABRE,mediana,0.5803627267041903,0.5,127
B,non_coding,MRE,mediana,0.5,0.3333333333333333,127
B,non_coding,MER,mediana,0.4117647058823531,0.375,127
B,non_coding,MAE,media,9.08590457883831,8.385826771653543,127
B,moved,ABRE,mediana,0.5,0.5,83
B,moved,MRE,mediana,0.375,0.4,83
B,moved,MER,mediana,0.3333333333333333,0.4117647058823529,83
B,moved,MAE,media,2.1417580334974193,2.0843373493975905,83
B,coding,ABRE,mediana,0.5793650793650793,0.5,76
B,coding,MRE,mediana,0.4642857142857143,0.3333333333333333,76
B,coding,MER,mediana,0.5,0.3904761904761905,76
B,coding,MAE,media,3.228038012695215,2.5526315789473686,76
B,all,ABRE,mediana,0.5,0.5046391752577319,170
B,all,MRE,mediana,0.39970760233918134,0.4231464737793852,170
B,all,MER,mediana,0.3568181818181817,0.375,170
B,all,MAE,media,8.615527967846395,7.852941176470588,170
C,non_coding,ABRE,mediana,0.5492063492063491,1.0,30
C,non_coding,MRE,mediana,0.4642857142857143,0.5,30
C,non_coding,MER,mediana,0.5,0.5,30
C,non_coding,MAE,media,3.2892110177404295,3.566666666666667,30
C,moved,ABRE,mediana,0.5,0.75,35
C,moved,MRE,mediana,0.3333333333333333,0.5,35
C,moved,MER,mediana,0.3333333333333333,0.5,35
C,moved,MAE,media,1.3463760049474336,2.342857142857143,35
C,coding,ABRE,mediana,0.51875,0.55,46
C,coding,MRE,mediana,0.4107142857142857,0.5,46
C,coding,MER,mediana,0.41230769230769226,0.3875,46
C,coding,MAE,media,2.555448052917601,2.717391304347826,46
C,all,ABRE,mediana,0.2857142857142857,0.5,56
C,all,MRE,mediana,0.26309523809523816,0.38421052631578945,56
C,all,MER,mediana,0.2724867724867725,0.358974358974359,56
C,all,MAE,media,4.199629457494739,4.321428571428571,56
D,non_coding,ABRE,mediana,0.4280303030303029,0.2857142857142857,21
D,non_coding,MRE,mediana,0.32432432432432434,0.2857142857142857,21
D,non_coding,MER,mediana,0.34920634920634924,0.23777777777777778,21
D,non_coding,MAE,media,15.61551504174947,11.333333333333334,21
D,moved,ABRE,mediana,0.3333333333333333,0.5,29
D,moved,MRE,mediana,0.25,0.46153846153846156,29
D,moved,MER,mediana,0.31818181818181823,0.3333333333333333,29
D,moved,MAE,media,3.0300824784624294,4.862068965517241,29
D,coding,ABRE,mediana,0.6153846153846154,0.875,37
D,coding,MRE,mediana,0.43333333333333335,0.5,37
D,coding,MER,mediana,0.38095238095238093,0.5,37
D,coding,MAE,media,4.609301620422944,5.702702702702703,37
D,all,ABRE,mediana,0.2980071858288771,0.3571428571428571,38
D,all,MRE,mediana,0.2805473540767658,0.28888888888888886,38
D,all,MER,mediana,0.2834904226208575,0.3045977011494253,38
D,all,MAE,media,11.816774523571139,11.0,38
All types,non_coding,ABRE,mediana,0.5803627267041903,0.5,211
All types,non_coding,MRE,mediana,0.4791666666666667,0.4,211
All types,non_coding,MER,mediana,0.44385026737967914,0.4,211
All types,non_coding,MAE,media,8.827681723118037,7.61611374407583,211
All types,moved,ABRE,mediana,0.44109803921568635,0.5,178
All types,moved,MRE,mediana,0.3333333333333333,0.4083333333333333,178
All types,moved,MER,mediana,0.3333333333333333,0.36363636363636365,178
All types,moved,MAE,media,2.381493900409791,2.6741573033707864,178
All types,coding,ABRE,mediana,0.5,0.6153846153846154,217
All types,coding,MRE,mediana,0.375,0.5,217
All types,coding,MER,mediana,0.38095238095238093,0.4666666666666667,217
All types,coding,MAE,media,3.5293406328677914,3.8294930875576036,217
All types,all,ABRE,mediana,0.38940520446096655,0.5,335
All types,all,MRE,mediana,0.33333333333333326,0.4,335
All types,all,MER,mediana,0.3333333333333333,0.375,335
All types,all,MAE,media,7.932617119394663,7.37910447761194,335
