origem,destino,replicacao,artigo,diferenca_pp,observacoes
attractive,attractive,52.6,50.0,2.6,10
attractive,floating,26.3,22.0,4.3,5
attractive,stagnant,5.3,6.0,-0.7,1
attractive,terminal,15.8,20.0,-4.2,3
attractive,*,0.0,0.0,0.0,0
floating,attractive,15.4,14.0,1.4,4
floating,floating,53.8,59.0,-5.2,14
floating,stagnant,11.5,9.0,2.5,3
floating,terminal,19.2,14.0,5.2,5
floating,*,0.0,0.0,0.0,0
stagnant,attractive,18.5,37.0,-18.5,5
stagnant,floating,22.2,22.0,0.2,6
stagnant,stagnant,44.4,27.0,17.4,12
stagnant,terminal,14.8,17.0,-2.2,4
stagnant,*,0.0,0.0,0.0,0
terminal,attractive,4.3,14.0,-9.7,1
terminal,floating,26.1,18.0,8.1,6
terminal,stagnant,8.7,5.0,3.7,2
terminal,terminal,39.1,45.0,-5.9,9
terminal,*,21.7,23.0,-1.3,5
*,attractive,10.3,9.0,1.3,8
*,floating,9.0,8.0,1.0,7
*,stagnant,21.8,26.0,-4.2,17
*,terminal,16.7,18.0,-1.3,13
*,*,42.3,40.0,2.3,33
